* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 13, 2026 7:08:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bench Mic 4
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
267.700195 90.471 -162.6411
268.066406 89.861 -174.4653
268.432617 88.627 175.6812
268.798828 87.054 171.3926
269.165039 86.131 174.7573
269.531250 86.869 178.5190
269.897461 88.453 174.0581
270.263672 89.763 162.5913
270.629883 90.418 147.9292
270.996094 90.354 133.0498
271.362305 89.633 120.6099
271.728516 88.541 113.4126
272.094727 87.819 112.4688
272.460938 88.139 112.5786
272.827148 88.990 107.3032
273.193359 89.476 96.5933
273.559570 89.128 83.4141
273.925781 87.718 71.3125
274.291992 85.184 66.0669
274.658203 82.726 77.7451
275.024414 83.736 96.1597
275.390625 86.272 96.8003
275.756836 87.915 86.9966
276.123047 88.512 74.9468
276.489258 88.350 65.4033
276.855469 88.039 61.7407
277.221680 88.564 62.9272
277.587891 90.200 61.7886
277.954102 92.130 54.5996
278.320312 93.725 43.1567
278.686523 94.800 29.9331
279.052734 95.356 16.6479
279.418945 95.456 4.4556
279.785156 95.197 -5.8120
280.151367 94.721 -13.6104
280.517578 94.222 -18.8823
280.883789 93.898 -22.4072
281.250000 93.844 -25.7837
281.616211 93.976 -30.6377
281.982422 94.100 -37.7607
282.348633 94.028 -47.0010
282.714844 93.637 -57.5757
283.081055 92.886 -68.2500
283.447266 91.852 -77.3452
283.813477 90.820 -83.0635
284.179688 90.342 -85.2251
284.545898 90.804 -87.2495
284.912109 91.887 -92.8945
285.278320 93.018 -102.3481
285.644531 93.856 -113.8286
286.010742 94.282 -125.5229
286.376953 94.291 -135.9746
286.743164 93.962 -143.9980
287.109375 93.469 -148.7495
287.475586 93.080 -150.2080
287.841797 93.043 -149.7163
288.208008 93.397 -149.4404
288.574219 93.969 -150.8745
288.940430 94.552 -154.2876
